country	latitude	longitude	x	y
South Africa	-28.579397200000002	24.086794125366062	2681329.656878163	-3322220.867120428
South Korea	36.638392	127.6961188	14215066.921093367	4388822.440276415
Spain	39.3260685	-4.8379791	-538561.3698804999	4768486.295249275
Sri Lanka	7.5554942	80.7137847	8985017.412801916	843522.0228427307
Suriname	4.1413025	-56.0771187	-6242476.298837959	461409.6181578771
Sweden	59.6749712	14.5208584	1616454.5629692292	8327726.624551773
Switzerland	46.813331250000005	8.444947437939408	940087.2485673751	5911658.029817127
Taiwan	23.9739374	120.9820179	13467656.627770707	2750232.5895415912
Thailand	14.8971921	100.83273	11224648.15889564	1677354.7384668754
Timor-Leste	-8.5151979	125.8375756	14008174.838452067	-951416.3527071559
Togo	8.7800265	1.0199765	113543.2646011054	981235.9610100128
Trinidad and Tobago	10.8677845	-60.9821067	-6788497.065345077	1217116.5128130894
Tunisia	33.994952999999995	9.367097748325554	1042740.55155442	4028124.357474512
Turkey	38.9597594	34.9249653	3887829.353168749	4715909.089946451
Uganda	1.3769751000000001	32.72391099113675	3642809.1082977513	153298.9245648785
Uruguay	-32.9332511	-55.67952571569153	-6198216.4502817625	-3886447.511079602
Venezuela	8.0018709	-66.1109318	-7359435.263844837	893674.065895879
Zambia	-14.5189121	27.5589884	3067852.555465733	-1633818.1097532026
