SEQ_TYPE	PRIMER	SEQ_TECH	ACC
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4890708
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4890788
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5478762
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5990140
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5300063
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4209511
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5090862
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5990327
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4692807
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4240828
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5070671
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4365328
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5093097
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5291437
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4364015
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4891530
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4248483
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4240229
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4693931
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4363937
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4569681
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4868666
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5397043
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4867855
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4365453
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4780137
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5080883
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5874717
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4807439
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4664632
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4246422
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5302680
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4241529
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4671477
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5398219
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4758817
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4759198
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4891476
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5746748
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4365225
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4671268
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5777965
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4208376
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5516369
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4247353
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4665981
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4363523
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5288106
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4693459
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4839584
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4665074
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4208659
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4248430
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4366239
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5992186
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4838081
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR4243086
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5634565
AMPLICON	ARTIC-V3	OXFORD_NANOPORE	ERR5473368
