ACC	GISAID
SRR15069010	EPI_ISL_2603866
SRR15069011	EPI_ISL_2603858
SRR15003081	EPI_ISL_1819269
SRR15003082	EPI_ISL_1823108
SRR15003083	EPI_ISL_1819268
SRR15003084	EPI_ISL_1819267
SRR15003085	EPI_ISL_1819266
SRR15003086	EPI_ISL_1819265
SRR15003087	EPI_ISL_1819264
SRR15003088	EPI_ISL_1819281
SRR15003089	EPI_ISL_1819280
SRR15003090	EPI_ISL_1819263
SRR15003091	EPI_ISL_1819279
SRR15003092	EPI_ISL_1819278
SRR15003093	EPI_ISL_1819277
SRR15003094	EPI_ISL_1819276
SRR15003095	EPI_ISL_1819275
SRR15003096	EPI_ISL_1819274
SRR15003097	EPI_ISL_1819273
SRR15003098	EPI_ISL_1819272
SRR15003099	EPI_ISL_1819271
SRR15003100	EPI_ISL_1819270
SRR15003101	EPI_ISL_1819262
SRR15003102	EPI_ISL_1819261
SRR15002551	EPI_ISL_1785969
SRR15002552	EPI_ISL_1753004
SRR15002553	EPI_ISL_1753003
SRR15002554	EPI_ISL_1753002
SRR15002555	EPI_ISL_1753001
SRR15002556	EPI_ISL_1753000
SRR15002557	EPI_ISL_1752999
SRR15002558	EPI_ISL_1785982
SRR15002559	EPI_ISL_1785981
SRR15002560	EPI_ISL_1785980
SRR15002561	EPI_ISL_1785979
SRR15002562	EPI_ISL_1752998
SRR15002563	EPI_ISL_1785978
SRR15002564	EPI_ISL_1785977
SRR15002565	EPI_ISL_1805573
SRR15002566	EPI_ISL_1785976
SRR15002567	EPI_ISL_1785975
SRR15002568	EPI_ISL_1785974
SRR15002569	EPI_ISL_1785973
SRR15002570	EPI_ISL_1785972
SRR15002571	EPI_ISL_1785971
SRR15002572	EPI_ISL_1785970
SRR15002573	EPI_ISL_1752997
SRR15002574	EPI_ISL_1752996
SRR15001652	EPI_ISL_2657668
SRR15001653	EPI_ISL_2657667
SRR15001654	EPI_ISL_2657666
SRR15001655	EPI_ISL_2657665
SRR15001657	EPI_ISL_2657664
SRR14859525	EPI_ISL_407896
SRR14859526	EPI_ISL_436097
SRR14859527	EPI_ISL_436097
SRR14808782	EPI_ISL_2443722
SRR14808793	EPI_ISL_2443721
SRR14808804	EPI_ISL_2443720
SRR14808810	EPI_ISL_2443777
SRR14808811	EPI_ISL_2443776
SRR14808812	EPI_ISL_2443775
SRR14808813	EPI_ISL_2443774
SRR14808814	EPI_ISL_2443773
SRR14808815	EPI_ISL_2443719
SRR14808816	EPI_ISL_2443772
SRR14808817	EPI_ISL_2443771
SRR14808818	EPI_ISL_2443770
SRR14808819	EPI_ISL_2443769
SRR14808820	EPI_ISL_2443768
SRR14808821	EPI_ISL_2443767
SRR14808822	EPI_ISL_2443766
SRR14808823	EPI_ISL_2443765
SRR14808824	EPI_ISL_2443764
SRR14808825	EPI_ISL_2443763
SRR14808826	EPI_ISL_2443718
