ACC	AGE
SRR15313660	27
SRR15313661	34
SRR15313662	8
SRR15313663	21
SRR15313664	44
SRR15313665	29
SRR15313666	24
SRR15313667	31
SRR15313668	35
SRR15313669	19
SRR15313670	36
SRR15313671	23
SRR15313672	29
SRR15313673	19
SRR15313674	23
SRR15313675	26
SRR15313676	1
SRR15313677	42
SRR15313217	68
SRR15313218	35
SRR15313219	20
SRR15313220	17
SRR15313221	33
SRR15313222	60
SRR15313223	35
SRR15313224	38
SRR15313225	25
SRR15313226	22
SRR15313227	30
SRR15313228	33
SRR15313229	32
SRR15313230	22
SRR15313231	36
SRR15313232	75
SRR15313233	13
SRR15313234	24
SRR15313235	40
SRR15313236	8
SRR15313237	23
SRR15313238	38
SRR15313239	33
SRR15313240	60
SRR15313241	20
SRR15313242	34
SRR15313243	28
SRR15313244	36
SRR15313245	19
SRR15313246	13
SRR15313247	16
SRR15313248	43
SRR15313249	28
SRR15313250	25
SRR15313251	48
SRR15313252	21
SRR15313253	15
SRR15313254	27
SRR15313255	29
SRR15313256	34
SRR15313257	25
SRR15313258	13
SRR15313259	26
SRR15313260	12
SRR15313261	29
SRR15313262	47
SRR15313263	43
SRR15313264	6
SRR15313265	26
SRR15313266	6
SRR15313267	16
SRR15313268	42
SRR15313269	7
SRR15313270	36
SRR15313271	32
SRR15313272	28
SRR15313273	34
SRR15313274	32
SRR15313275	31
SRR15313276	28
SRR15313277	15
SRR15313278	30
SRR15313279	33
SRR15313280	53
SRR15313281	25
SRR15313282	33
SRR15313283	16
SRR15313284	73
SRR15313285	27
SRR15313286	88
SRR15313287	20
SRR15313288	48
SRR15313289	11
SRR15313290	20
SRR15313291	22
SRR15313292	49
SRR15313293	20
SRR15313294	66
SRR15313295	30
SRR15313296	41
SRR15313297	25
SRR15313298	29
SRR15313299	24
SRR15313300	47
SRR15313301	67
SRR15313302	23
SRR15313303	33
SRR15313304	33
SRR15313305	22
SRR15313306	79
SRR15313307	23
SRR15313308	38
SRR15313309	30
SRR15313310	23
SRR15313311	26
SRR15313312	20
SRR15313313	17
SRR15313314	2
SRR15313315	32
SRR15313316	36
SRR15313317	32
SRR15313318	48
SRR15313319	51
SRR15313320	51
SRR15313321	30
